,X,Y,Z,E
36159,110.4,109.6,30.2,0.0
36163,112.4,109.6,0.0,463.0135
36164,112.4,110.4,0.0,463.03345
36165,110.4,110.4,0.0,463.08334
36166,110.4,112.4,0.0,463.13323
36167,109.6,112.4,0.0,463.15319
36168,109.6,110.4,0.0,463.20308
36169,107.6,110.4,0.0,463.25297
36170,107.6,109.6,0.0,463.27293
36171,109.6,109.6,0.0,463.32282
36172,109.6,107.6,0.0,463.37271
36173,110.4,107.6,0.0,463.39266
36174,110.4,109.6,0.0,463.44255
36177,110.33,109.67,0.0,0.0
36178,110.3,110.8,0.0,0.0
36179,110.8,110.8,0.0,0.0
36183,110.8,112.2,0.0,463.47747
36184,112.2,112.2,0.0,463.5124
36185,112.2,110.8,0.0,463.54732
36186,110.8,110.8,0.0,463.58224
36189,110.8,111.0,0.0,0.0
36190,110.3,111.0,0.0,0.0
36191,110.772,112.228,0.0,0.0
36192,112.73,112.73,0.0,0.0
36193,112.8,112.8,0.0,0.0
36196,107.2,112.8,0.0,463.72194
36197,107.2,107.2,0.0,463.86163
36198,112.8,107.2,0.0,464.00132
36199,112.8,112.8,0.0,464.14101
36202,112.6,112.8,0.0,0.0
36203,112.6,112.7,0.0,0.0
36204,110.772,112.228,0.0,0.0
36205,109.228,110.772,0.0,0.0
36206,107.8,110.3,0.0,0.0
36207,107.8,110.8,0.0,0.0
36210,107.8,112.2,0.0,464.17594
36211,109.2,112.2,0.0,464.21086
36212,109.2,110.8,0.0,464.24578
36213,107.8,110.8,0.0,464.28071
36216,107.8,111.0,0.0,0.0
36217,107.8,110.3,0.0,0.0
36218,107.73,107.73,0.0,0.0
36219,107.8,107.8,0.0,0.0
36222,107.8,109.2,0.0,464.31563
36223,109.2,109.2,0.0,464.35055
36224,109.2,107.8,0.0,464.38548
36225,107.8,107.8,0.0,464.4204
36228,107.8,108.0,0.0,0.0
36229,107.8,109.7,0.0,0.0
36230,109.628,109.628,0.0,0.0
36231,110.3,107.8,0.0,0.0
36232,110.8,107.8,0.0,0.0
36235,110.8,109.2,0.0,464.45532
36236,112.2,109.2,0.0,464.49025
36237,112.2,107.8,0.0,464.52517
36238,110.8,107.8,0.0,464.56009
36241,110.8,108.0,0.0,0.0
36242,110.01,107.99,0.0,0.0
36246,110.01,109.99,0.0,464.60998
36247,112.01,109.99,0.0,464.65987
36248,112.01,110.01,0.0,464.66037
36249,110.01,110.01,0.0,464.71026
36250,110.01,112.01,0.0,464.76015
36251,109.99,112.01,0.0,464.76065
36252,109.99,110.01,0.0,464.81054
36253,107.99,110.01,0.0,464.86043
36254,107.99,109.99,0.0,464.86093
36255,109.99,109.99,0.0,464.91082
36256,109.99,107.99,0.0,464.96071
36257,110.01,107.99,0.0,464.96121
36260,110.647,107.536,0.0,0.0
36261,110.893,107.499,0.0,464.96354
36262,111.176,107.499,0.0,464.96652
36263,111.459,107.499,0.0,464.9695
36264,111.742,107.499,0.0,464.97248
36265,112.025,107.499,0.0,464.97547
36266,112.308,107.499,0.0,464.97845
36267,112.498,107.69,0.0,0.0
36268,112.498,107.973,0.0,464.98147
36269,112.498,108.256,0.0,464.98449
36270,112.498,108.539,0.0,464.9875
36271,112.498,108.821,0.0,464.99051
36272,112.498,109.104,0.0,464.99353
36273,112.462,109.351,0.0,464.99589
36274,112.33,109.67,0.0,0.0
36275,112.33,110.33,0.0,0.0
36276,112.499,110.802,0.0,0.0
36277,112.499,111.085,0.0,464.9989
36278,112.499,111.368,0.0,465.0019
36279,112.499,111.65,0.0,465.00488
36280,112.499,111.933,0.0,465.00789
36281,112.499,112.216,0.0,465.01089
36282,112.499,112.499,0.0,465.01389
36283,112.216,112.499,0.0,465.01689
36284,111.933,112.499,0.0,465.01989
36285,111.65,112.499,0.0,465.02289
36286,111.367,112.499,0.0,465.02589
36287,111.084,112.499,0.0,465.02889
36288,110.802,112.499,0.0,465.03188
36289,110.33,112.33,0.0,0.0
36290,109.67,112.33,0.0,0.0
36291,109.351,112.462,0.0,0.0
36292,109.105,112.499,0.0,465.03422
36293,108.822,112.499,0.0,465.03722
36294,108.539,112.499,0.0,465.04022
36295,108.256,112.499,0.0,465.04322
36296,107.973,112.499,0.0,465.04622
36297,107.69,112.499,0.0,465.04922
36298,107.499,112.307,0.0,0.0
36299,107.499,112.025,0.0,465.05223
36300,107.499,111.742,0.0,465.05525
36301,107.499,111.459,0.0,465.05826
36302,107.499,111.176,0.0,465.06128
36303,107.499,110.893,0.0,465.0643
36304,107.536,110.647,0.0,465.06666
36305,107.67,110.33,0.0,0.0
36306,107.67,109.67,0.0,0.0
36307,107.499,109.196,0.0,0.0
36308,107.499,108.913,0.0,465.06966
36309,107.499,108.63,0.0,465.07266
36310,107.499,108.347,0.0,465.07566
36311,107.499,108.065,0.0,465.07865
36312,107.499,107.782,0.0,465.08165
36313,107.499,107.499,0.0,465.08465
36314,107.782,107.499,0.0,465.08763
36315,108.065,107.499,0.0,465.09061
36316,108.348,107.499,0.0,465.0936
36317,108.631,107.499,0.0,465.09658
36318,108.914,107.499,0.0,465.09956
36319,109.196,107.499,0.0,465.10253
36320,109.67,107.67,0.0,0.0
36321,112.506,107.415,0.0,0.0
36325,112.584,107.493,0.0,465.10391
36328,112.228,109.228,0.0,0.0
36329,109.228,112.228,0.0,0.0
36330,107.492,112.584,0.0,0.0
36333,107.414,112.505,0.0,465.10529
36336,107.772,110.772,0.0,0.0
36337,110.33,109.67,0.0,0.0
36338,110.4,109.6,0.0,0.0
